Capital of Ahafo Region,Goaso
Capital of Ashanti Region,Kumasi
Capital of Bono East Region,Techiman
Capital of Brong Ahafo Region,Sunyani
Capital of Central Region,Cape Coast
Capital of Eastern Region,Koforidua
Capital of Greater Accra Region,Accra
Capital of North East Region,Nalerigu
Capital of Northern Region,Tamale
Capital of Oti Region,Dambai
Capital of Savannah Region,Damongo
Capital of Upper East Region,Bolgatanga
Capital of Upper West Region,Wa
Capital of Western Region,Sekondi-Takoradi
Capital of Western North Region,Sefwi Wiaso
Capital of Volta Region,Ho